37.	DELTA AIRLINES 	DL	"0,5% от опубл. тарифа DL на трансатлантический перелет при перевозке, начинающейся в Европе, Азии или Африке; 
0,5% от опубл. тарифа других авиакомпаний в комбинации с опубл. тарифом DL на трансатлант.перелет при перевозке, нач.в Европе, Азии или Африке;
0,5% от опубл. тарифа на рейсы Interline без участка DL.
0,5% от опубл. тарифа DL при внутренних перелетах по США
0% на перевозки, нач.в США (включая Пуэрто Рико, Острова Вирджинии и Канада)

"
38.	DONBASSAERO	7D	"5% от всех опубл. тарифов на собств. рейсы 7D; 
3,5% от всех опубл. тарифов на рейсы Interline с участием собств. рейсов 7D; 
3,5% от всех опубл. тарифов на рейсы Interline без участия собств. рейсов 7D; 
"
39.	EGYPT AIR	MS	"6,3% от тарифа на рейсы MS из Москвы
3,5% от тарифа на рейсы MS из Египта
3,5% от тарифа для иных международных рейсов MS
0% от тарифа на рейсы MS внутри Египта
0% от тарифа на все иные сектора авиабилетов Interline"
40.	EL AL ISRAEL AIRLINES	LY	"3,5% от опубл. тарифов Эконом класса на рейсы LY
6,7% от опубл. тарифов Бизнес класса на рейсы LY"
41.	EMIRATES	EK	"3,5% от тарифов Первого и Бизнес классов на рейсы EK;
3,5% от комб. тарифов Первого и/или Бизнес класса с тарифами Эконом класса на рейсы EK;
5 коп. с билета по опубл.тарифам Эконом класса на собств. рейсы EK."
42.	ESTONIAN AIR 	OV	0,5% от опубл. тарифа на рейсы OV
43.	ETIHAD AIRWAYS	EY	3,5% от опубл. тарифов на собств. рейсы EY
44.	Ethiopian Airlines Enterprise 	ET	"5% от опубл. тарифов на собств. рейсы ET
3,5 % от опубл. тарифов на рейсы Interline с участком ET
0 % от опубл. тарифов на рейсы Interline без участка ET
"
45.	FINNAIR 	AY	50 коп. с билета на рейсы AY
46.	FLY BABOO 	F7	0,5% от опубл. тарифа на рейсы F7
47.	GULF AIR	"GF
"	"5% от тарифа на международные рейсы GF
3,5% от тарифа на рейсы GF между аэропортами Персидского залива"
48.	HAHN AIR 	HR	5 коп. с билета по опубл. тарифам HR
49.	HAINAN AIRLINES	HU	6,3% от опубл. тарифов на собств. рейсы HU
50.	Heli air Monaco	YO	50 коп. с билета на рейсы YO
51.	Hong Kong Airlines 	HX	5% от опубл. тарифов на собств.рейсы HX 
52.	IBERIA 	IB	50 коп. с билета на рейсы IB
53.	ICELANDAIR 	FI	0,5% от опубл. тарифа на рейсы FI
54.	ISRAIR AIRLINE	6H	5% от опубл. тарифов на собств. рейсы 6H
55.	UZBEKISTAN AIRWAYS (Узбекистон Хаво Йуллари)	HY	5% от опубл. тарифов на собств. рейсы HY
			2% от опубл. тарифов на рейсы Interline
56.	JAPAN AIRLINES INTERNATIONAL	JL	"5% от опубл. тарифа; 
5% от тарифов бизнес и первого классов;
5% от тарифов в третьи страны (транзит) и спец.тарифов в Японию ‘Сатогаери’
3,5% от спец. тарифа при наличии совместных рейсов JAL, выполняемых другими авиакомпаниями;
3,5% от спец. тарифов в Японию (включая, но не ограничиваясь, ‘Дисковер Джапэн’, молодежные тарифы);
3,5% от тарифов на внутренние рейсы по Японии
5% от опубл. тарифа в случае наличия рейсов других авиакомпаний;
"
57.	JAT AIRWAYS	JU	30 руб. с билета на собств.рейсы JU
58.	JET AIRWAYS	9W	0,5% от опубл. тарифа на собств.рейсы 9W
59.	KLM 	KL	5 руб. с билета на рейсы KL.
60.	KOREAN AIR	KE	"6,3% от опубл. тарифов на собственные рейсы KE, кроме внутренних рейсов по Корее;
3,5% от опубл. тарифов на собственные внутренние рейсы KE по Корее."
61.	LAN Airlines	LA	5 коп. с билета по опубл. тарифам на рейсы LA
